# Characterisation golden for render, probe, contours and CSV (#570).
# field	case	portable	exact
# Re-record: FIELDGLASS_UPDATE_GOLDEN=1 cargo test -p fieldglass-napi characterisation
# `portable` is asserted on every target; `exact` only on the recorded
# libm (ADR-0009). See src/characterisation.rs for what each column holds.
grib1/ieee64_cmc_wind.grib1#00	render/equirectangular/nearest	ok w=720 h=507 opaque=227460	7b4da6066260f941
grib1/ieee64_cmc_wind.grib1#00	render/source/nearest	ok w=135 h=95 opaque=12825	7807fa1fa7b13cbf
grib1/j_consecutive_latlon.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/j_consecutive_latlon.grib1#00	contours/equirectangular/auto	ok runs=60 points=120	df044a46aaa63626
grib1/j_consecutive_latlon.grib1#00	contours/mollweide/auto	ok runs=60 points=120	c87465b9ae36f62f
grib1/j_consecutive_latlon.grib1#00	contours/source/auto	ok runs=60 points=120	996f55588758e1da
grib1/j_consecutive_latlon.grib1#00	csv/long	ok rows=41	2b393735a4cb1633
grib1/j_consecutive_latlon.grib1#00	csv/matrix	ok rows=5	b2c4c8fe9f13fbfc
grib1/j_consecutive_latlon.grib1#00	meta	family=latlon ni=8 nj=5 reprojectable=true	2f58c14f5fdbf730
grib1/j_consecutive_latlon.grib1#00	probe/equirectangular/0,0	hit cell=0,0 geo=yes value=yes	d9f37f98c8914297
grib1/j_consecutive_latlon.grib1#00	probe/equirectangular/359,180	hit cell=3,2 geo=yes value=yes	b9e363c79b8c2f0e
grib1/j_consecutive_latlon.grib1#00	probe/equirectangular/7,3	hit cell=0,0 geo=yes value=yes	d0184248dc03f8f1
grib1/j_consecutive_latlon.grib1#00	probe/equirectangular/719,719	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	probe/orthographic/0,0	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	probe/orthographic/359,180	hit cell=- geo=yes value=no	542c39f9eaccd6ca
grib1/j_consecutive_latlon.grib1#00	probe/orthographic/7,3	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	probe/orthographic/719,719	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	probe/source/0,0	hit cell=0,0 geo=yes value=yes	d9f37f98c8914297
grib1/j_consecutive_latlon.grib1#00	probe/source/359,180	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	probe/source/7,3	hit cell=7,3 geo=yes value=yes	54800f1d3cb79fac
grib1/j_consecutive_latlon.grib1#00	probe/source/719,719	miss	c4e0642f982dc6de
grib1/j_consecutive_latlon.grib1#00	render/equal_earth/bilinear	ok w=720 h=360 opaque=2424	c4642ba37388c4ab
grib1/j_consecutive_latlon.grib1#00	render/equal_earth/nearest	ok w=720 h=360 opaque=2424	c3977f568b46ee68
grib1/j_consecutive_latlon.grib1#00	render/equirectangular/bilinear	ok w=720 h=450 opaque=324000	a98eb556c37c50f0
grib1/j_consecutive_latlon.grib1#00	render/equirectangular/nearest	ok w=720 h=450 opaque=324000	0868eaf576462a7e
grib1/j_consecutive_latlon.grib1#00	render/equirectangular/nearest+window	ok w=720 h=450 opaque=280	1fc9e4f1728f4e21
grib1/j_consecutive_latlon.grib1#00	render/mollweide/bilinear	ok w=720 h=360 opaque=2225	56ab6e779e44afc0
grib1/j_consecutive_latlon.grib1#00	render/mollweide/nearest	ok w=720 h=360 opaque=2225	37a37b2f3fdd8cc5
grib1/j_consecutive_latlon.grib1#00	render/orthographic/bilinear	ok w=720 h=720 opaque=10714	d34d8d2f1d2420d2
grib1/j_consecutive_latlon.grib1#00	render/orthographic/nearest	ok w=720 h=720 opaque=10714	a692f7d4d2557d82
grib1/j_consecutive_latlon.grib1#00	render/polar_stereographic/bilinear	ok w=720 h=720 opaque=5751	993f129a57ce640e
grib1/j_consecutive_latlon.grib1#00	render/polar_stereographic/nearest	ok w=720 h=720 opaque=5751	37e93eabadbfc1f6
grib1/j_consecutive_latlon.grib1#00	render/robinson/bilinear	ok w=720 h=360 opaque=2601	409e08be3bc2c130
grib1/j_consecutive_latlon.grib1#00	render/robinson/nearest	ok w=720 h=360 opaque=2601	8df4d565a731fe21
grib1/j_consecutive_latlon.grib1#00	render/source/bilinear	ok w=8 h=5 opaque=40	89969c49c8e4f8cf
grib1/j_consecutive_latlon.grib1#00	render/source/nearest	ok w=8 h=5 opaque=40	89969c49c8e4f8cf
grib1/j_consecutive_latlon.grib1#00	render/source/nearest+flip_y	ok w=8 h=5 opaque=40	3546096a16d2a4eb
grib1/j_consecutive_latlon.grib1#00	render/web_mercator/bilinear	ok w=720 h=450 opaque=324000	42698872ff38e782
grib1/j_consecutive_latlon.grib1#00	render/web_mercator/nearest	ok w=720 h=450 opaque=324000	af3e5669b93faaf9
grib1/matrix_simple_cmc_wind.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/matrix_simple_cmc_wind.grib1#00	meta	family=polar_stereo ni=135 nj=95 reprojectable=true	5a69fdd0885dc1a5
grib1/matrix_simple_cmc_wind.grib1#00	render/equirectangular/nearest	ok w=720 h=507 opaque=227460	7b4da6066260f941
grib1/matrix_simple_cmc_wind.grib1#00	render/source/nearest	ok w=135 h=95 opaque=12825	7807fa1fa7b13cbf
grib1/reduced_gg_n32.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/reduced_gg_n32.grib1#00	meta	family=reduced_gaussian ni=128 nj=64 reprojectable=true	7285e001837fd4c1
grib1/reduced_gg_n32.grib1#00	render/equirectangular/nearest	ok w=720 h=360 opaque=259200	8f1faf0a578e2875
